alias,accession,ENA biosample accession
AD_winter_study_220125_barcode74,ERS27176809,SAMEA120476123
AD_winter_study_220125_barcode75,ERS27176810,SAMEA120476124
AD_winter_study_220125_barcode76,ERS27176811,SAMEA120476125
AD_winter_study_220125_barcode77,ERS27176812,SAMEA120476126
AD_winter_study_220725_barcode41,ERS27176813,SAMEA120476127
AD_winter_study_220725_barcode42,ERS27176814,SAMEA120476128
AD_winter_study_220725_barcode43,ERS27176815,SAMEA120476129
AD_winter_study_220725_barcode44,ERS27176816,SAMEA120476130
AD_winter_study_220725_barcode45,ERS27176817,SAMEA120476131
AD_winter_study_220725_barcode46,ERS27176818,SAMEA120476132
AD_winter_study_220725_barcode47,ERS27176819,SAMEA120476133
AD_winter_study_220725_barcode48,ERS27176820,SAMEA120476134
AD_winter_study_220725_barcode49,ERS27176821,SAMEA120476135
AD_winter_study_220725_barcode50,ERS27176822,SAMEA120476136
AD_winter_study_220725_barcode51,ERS27176823,SAMEA120476137
AD_winter_study_220725_barcode52,ERS27176824,SAMEA120476138
AD_winter_study_220725_barcode53,ERS27176825,SAMEA120476139
AD_winter_study_220725_barcode54,ERS27176826,SAMEA120476140
AD_winter_study_220725_barcode55,ERS27176827,SAMEA120476141
AD_winter_study_220725_barcode56,ERS27176828,SAMEA120476142
AD_winter_study_220725_barcode57,ERS27176829,SAMEA120476143
AD_winter_study_220725_barcode58,ERS27176830,SAMEA120476144
AD_winter_study_220725_barcode59,ERS27176831,SAMEA120476145
AD_winter_study_220725_barcode60,ERS27176832,SAMEA120476146
AD_winter_study_220725_barcode61,ERS27176833,SAMEA120476147
AD_winter_study_220725_barcode62,ERS27176834,SAMEA120476148
AD_winter_study_220725_barcode63,ERS27176835,SAMEA120476149
AD_winter_study_220725_barcode64,ERS27176836,SAMEA120476150
AD_winter_study_220725_barcode65,ERS27176837,SAMEA120476151
AD_winter_study_220725_barcode66,ERS27176838,SAMEA120476152
AD_winter_study_220725_barcode67,ERS27176839,SAMEA120476153
AD_winter_study_220725_barcode68,ERS27176840,SAMEA120476154
AD_winter_study_220725_barcode69,ERS27176841,SAMEA120476155
AD_winter_study_220725_barcode70,ERS27176842,SAMEA120476156
AD_winter_study_220725_barcode71,ERS27176843,SAMEA120476157
AD_winter_study_240725_barcode01,ERS27176844,SAMEA120476158
AD_winter_study_240725_barcode02,ERS27176845,SAMEA120476159
AD_winter_study_240725_barcode03,ERS27176846,SAMEA120476160
AD_winter_study_240725_barcode04,ERS27176847,SAMEA120476161
AD_winter_study_240725_barcode05,ERS27176848,SAMEA120476162
AD_winter_study_240725_barcode06,ERS27176849,SAMEA120476163
AD_winter_study_240725_barcode07,ERS27176850,SAMEA120476164
AD_winter_study_240725_barcode08,ERS27176851,SAMEA120476165
AD_winter_study_240725_barcode09,ERS27176852,SAMEA120476166
AD_winter_study_240725_barcode10,ERS27176853,SAMEA120476167
AD_winter_study_240725_barcode11,ERS27176854,SAMEA120476168
AD_winter_study_240725_barcode12,ERS27176855,SAMEA120476169
AD_winter_study_240725_barcode13,ERS27176856,SAMEA120476170
AD_winter_study_240725_barcode14,ERS27176857,SAMEA120476171
AD_winter_study_240725_barcode15,ERS27176858,SAMEA120476172
AD_winter_study_240725_barcode16,ERS27176859,SAMEA120476173
AD_winter_study_240725_barcode17,ERS27176860,SAMEA120476174
AD_winter_study_240725_barcode18,ERS27176861,SAMEA120476175
AD_winter_study_240725_barcode19,ERS27176862,SAMEA120476176
AD_winter_study_240725_barcode20,ERS27176863,SAMEA120476177
AD_winter_study_240725_barcode21,ERS27176864,SAMEA120476178
AD_winter_study_240725_barcode22,ERS27176865,SAMEA120476179
AD_winter_study_240725_barcode23,ERS27176866,SAMEA120476180
AD_winter_study_240725_barcode24,ERS27176867,SAMEA120476181
AD_winter_study_240725_barcode25,ERS27176868,SAMEA120476182
AD_winter_study_240725_barcode26,ERS27176869,SAMEA120476183
AD_winter_study_240725_barcode27,ERS27176870,SAMEA120476184
AD_winter_study_240725_barcode28,ERS27176871,SAMEA120476185
AD_winter_study_240725_barcode29,ERS27176872,SAMEA120476186
AD_winter_study_240725_barcode30,ERS27176873,SAMEA120476187
AD_winter_study_240725_barcode31,ERS27176874,SAMEA120476188
AD_winter_study_240725_barcode32,ERS27176875,SAMEA120476189
AD_winter_study_240725_barcode33,ERS27176876,SAMEA120476190
AD_winter_study_240725_barcode34,ERS27176877,SAMEA120476191
AD_winter_study_240725_barcode35,ERS27176878,SAMEA120476192
AD_winter_study_300725_barcode41,ERS27176879,SAMEA120476193
AD_winter_study_300725_barcode42,ERS27176880,SAMEA120476194
AD_winter_study_300725_barcode43,ERS27176881,SAMEA120476195
AD_winter_study_300725_barcode44,ERS27176882,SAMEA120476196
AD_winter_study_300725_barcode45,ERS27176883,SAMEA120476197
AD_winter_study_300725_barcode46,ERS27176884,SAMEA120476198
AD_winter_study_300725_barcode47,ERS27176885,SAMEA120476199
AD_winter_study_300725_barcode48,ERS27176886,SAMEA120476200
AD_winter_study_300725_barcode49,ERS27176887,SAMEA120476201
AD_winter_study_300725_barcode50,ERS27176888,SAMEA120476202
AD_winter_study_300725_barcode51,ERS27176889,SAMEA120476203
AD_winter_study_300725_barcode52,ERS27176890,SAMEA120476204
AD_winter_study_300725_barcode53,ERS27176891,SAMEA120476205
AD_winter_study_300725_barcode54,ERS27176892,SAMEA120476206
AD_winter_study_300725_barcode55,ERS27176893,SAMEA120476207
AD_winter_study_300725_barcode56,ERS27176894,SAMEA120476208
AD_winter_study_300725_barcode57,ERS27176895,SAMEA120476209
AD_winter_study_300725_barcode58,ERS27176896,SAMEA120476210
AD_winter_study_300725_barcode59,ERS27176897,SAMEA120476211
AD_winter_study_300725_barcode60,ERS27176898,SAMEA120476212
AD_winter_study_300725_barcode61,ERS27176899,SAMEA120476213
AD_winter_study_300725_barcode62,ERS27176900,SAMEA120476214
AD_winter_study_300725_barcode63,ERS27176901,SAMEA120476215
AD_winter_study_300725_barcode64,ERS27176902,SAMEA120476216
AD_winter_study_300725_barcode65,ERS27176903,SAMEA120476217
AD_winter_study_300725_barcode66,ERS27176904,SAMEA120476218
AD_winter_study_300725_barcode67,ERS27176905,SAMEA120476219
AD_winter_study_300725_barcode68,ERS27176906,SAMEA120476220
AD_winter_study_300725_barcode69,ERS27176907,SAMEA120476221
AD_winter_study_300725_barcode70,ERS27176908,SAMEA120476222
AD_winter_study_300725_barcode71,ERS27176909,SAMEA120476223
AD_winter_study_300725_barcode72,ERS27176910,SAMEA120476224
AD_winter_study_300725_barcode73,ERS27176911,SAMEA120476225
AD_winter_study_300725_barcode74,ERS27176912,SAMEA120476226
AD_winter_study_300725_barcode75,ERS27176913,SAMEA120476227
